,Pclass,Sex,Age,Fare,Cabin,Embarked,solo
643,3,1,29.331028231605423,56.4958,0,1,1
644,3,2,0.75,4.814575,0,0,0
645,1,1,48.0,38.3646,1,0,0
646,3,1,19.0,7.8958,0,1,1
647,1,1,56.0,35.5,1,0,1
648,3,1,36.09511146657693,7.55,0,1,1
649,3,2,23.0,7.55,0,1,1
650,3,1,27.643628382849226,7.8958,0,1,1
651,2,2,18.0,11.5,0,1,0
652,3,1,21.0,8.4333,0,1,1
653,3,2,19.504680680268745,7.8292,0,2,1
654,3,2,18.0,6.75,0,2,1
655,2,1,24.0,24.5,0,1,0
656,3,1,27.643628382849226,7.8958,0,1,1
657,3,2,32.0,5.166666666666667,0,2,0
658,2,1,23.0,13.0,0,1,1
659,1,1,58.0,37.75833333333333,1,0,0
660,1,1,50.0,44.550000000000004,0,1,0
661,3,1,40.0,7.225,0,0,1
662,1,1,47.0,25.5875,1,1,1
663,3,1,36.0,7.4958,0,1,1
664,3,1,20.0,3.9625,0,1,0
665,2,1,32.0,24.5,0,1,0
666,2,1,25.0,13.0,0,1,1
667,3,1,29.36937576847115,7.775,0,1,1
668,3,1,43.0,8.05,0,1,1
669,1,2,36.10721248733075,26.0,1,1,0
670,2,2,40.0,13.0,0,1,0
671,1,1,31.0,26.0,1,1,0
672,2,1,70.0,10.5,0,1,1
673,2,1,31.0,13.0,0,1,1
674,2,1,34.72170626920611,0.0,0,1,1
675,3,1,18.0,7.775,0,1,1
676,3,1,24.5,8.05,0,1,1
677,3,2,18.0,9.8417,0,1,1
678,3,2,43.0,5.8625,0,1,0
679,1,1,36.0,256.1646,1,0,0
680,3,2,18.221979742151085,8.1375,0,2,1
681,1,1,27.0,76.7292,1,0,1
682,3,1,20.0,9.225,0,1,1
683,3,1,14.0,5.8625,0,1,0
684,2,1,60.0,13.0,0,1,0
685,2,1,25.0,10.3948,0,0,0
686,3,1,14.0,6.614583333333333,0,1,0
687,3,1,19.0,10.1708,0,1,1
688,3,1,18.0,7.7958,0,1,1
689,1,2,15.0,105.66875,1,1,0
690,1,1,31.0,28.5,1,1,0
691,3,2,4.0,6.70835,0,0,0
692,3,1,29.331028231605423,56.4958,0,1,1
693,3,1,25.0,7.225,0,0,1
694,1,1,60.0,26.55,0,1,1
695,2,1,52.0,13.5,0,1,1
696,3,1,44.0,8.05,0,1,1
697,3,2,14.723177025469887,7.7333,0,2,1
698,1,1,49.0,36.9611,1,0,0
699,3,1,42.0,7.65,1,1,1
700,1,2,18.0,113.7625,1,0,0
701,1,1,35.0,26.2875,1,1,1
702,3,2,18.0,7.2271,0,0,0
703,3,1,25.0,7.7417,0,2,1
704,3,1,26.0,3.9271,0,1,0
705,2,1,39.0,26.0,0,1,1
706,2,2,45.0,13.5,0,1,1
707,1,1,42.0,26.2875,1,1,1
708,1,2,22.0,151.55,0,1,1
709,3,1,12.230743202362165,5.081933333333333,0,0,0
710,1,2,24.0,49.5042,1,0,1
711,1,1,48.73036378411702,26.55,1,1,1
712,1,1,48.0,26.0,1,1,0
713,3,1,29.0,9.4833,0,1,1
714,2,1,52.0,13.0,0,1,1
715,3,1,19.0,7.65,1,1,1
716,1,2,38.0,227.525,1,0,1
717,2,2,27.0,10.5,1,1,1
718,3,1,35.3631260770849,15.5,0,2,1
719,3,1,33.0,7.775,0,1,1
720,2,2,6.0,16.5,0,1,0
721,3,1,17.0,3.5271,0,1,0
722,2,1,34.0,13.0,0,1,1
723,2,1,50.0,13.0,0,1,1
724,1,1,27.0,26.55,1,1,0
725,3,1,20.0,8.6625,0,1,1
726,2,2,30.0,5.25,0,1,0
727,3,2,14.723177025469887,7.7375,0,2,1
728,2,1,25.0,13.0,0,1,0
729,3,2,25.0,3.9625,0,1,0
730,1,2,29.0,211.3375,1,1,1
731,3,1,11.0,18.7875,0,0,1
732,2,1,34.72170626920611,0.0,0,1,1
733,2,1,23.0,13.0,0,1,1
734,2,1,23.0,13.0,0,1,1
735,3,1,28.5,16.1,0,1,1
736,3,2,48.0,6.875,0,1,0
737,1,1,35.0,512.3292,1,0,1
738,3,1,27.643628382849226,7.8958,0,1,1
739,3,1,27.643628382849226,7.8958,0,1,1
740,1,1,48.24778397184816,30.0,1,1,1
741,1,1,36.0,39.425,1,1,0
742,1,2,21.0,52.475,1,0,0
743,3,1,24.0,8.05,0,1,0
744,3,1,31.0,7.925,0,1,1
745,1,1,70.0,23.666666666666668,1,1,0
746,3,1,16.0,6.75,0,1,0
747,2,2,30.0,13.0,0,1,1
748,1,1,19.0,26.55,1,1,0
749,3,1,31.0,7.75,0,2,1
750,2,2,4.0,7.666666666666667,0,1,0
751,3,1,6.0,6.2375,1,1,0
752,3,1,33.0,9.5,0,1,1
753,3,1,23.0,7.8958,0,1,1
754,2,2,48.0,16.25,0,1,0
755,2,1,0.67,4.833333333333333,0,1,0
756,3,1,28.0,7.7958,0,1,1
757,2,1,18.0,11.5,0,1,1
758,3,1,34.0,8.05,0,1,1
759,1,2,33.0,86.5,1,1,1
760,3,1,21.43375924691709,14.5,0,1,1
761,3,1,41.0,7.125,0,1,1
762,3,1,20.0,7.2292,0,0,1
763,1,2,36.0,30.0,1,1,0
764,3,1,16.0,7.775,0,1,1
765,1,2,51.0,38.97915,1,1,0
766,1,1,40.3338104154134,39.6,0,0,1
767,3,2,30.5,7.75,0,2,1
768,3,1,27.51180291802633,12.075,0,2,0
769,3,1,32.0,8.3625,0,1,1
770,3,1,24.0,9.5,0,1,1
771,3,1,48.0,7.8542,0,1,1
772,2,2,57.0,10.5,1,1,1
773,3,1,30.780432310819524,7.225,0,0,1
774,2,2,54.0,4.6,0,1,0
775,3,1,18.0,7.75,0,1,1
776,3,1,44.51543102412517,7.75,1,2,1
777,3,2,5.0,12.475,0,1,1
778,3,1,23.086364640647474,7.7375,0,2,1
779,1,2,43.0,105.66875,1,1,0
780,3,2,13.0,7.2292,0,0,1
781,1,2,17.0,28.5,1,1,0
782,1,1,29.0,30.0,1,1,1
783,3,1,9.516443899893442,5.8625,0,1,0
784,3,1,25.0,7.05,0,1,1
785,3,1,25.0,7.25,0,1,1
786,3,2,18.0,7.4958,0,1,1
787,3,1,8.0,4.854166666666667,0,2,0
788,3,1,1.0,5.14375,0,1,0
789,1,1,46.0,79.2,1,0,1
790,3,1,44.13763117073652,7.75,0,2,1
791,2,1,16.0,26.0,0,1,1
792,3,2,12.020266182757316,6.322727272727272,0,1,0
793,1,1,52.21273353944648,30.6958,0,0,1
794,3,1,25.0,7.8958,0,1,1
795,2,1,39.0,13.0,0,1,1
796,1,2,49.0,25.9292,1,1,1
797,3,2,31.0,8.6833,0,1,1
798,3,1,30.0,7.2292,0,0,1
799,3,2,30.0,8.049999999999999,0,1,0
800,2,1,34.0,13.0,0,1,1
801,2,2,31.0,8.75,0,1,0
802,1,1,11.0,30.0,1,1,0
803,3,1,0.42,4.25835,0,0,0
804,3,1,27.0,6.975,0,1,1
805,3,1,31.0,7.775,0,1,1
806,1,1,39.0,0.0,1,1,1
807,3,2,18.0,7.775,0,1,1
808,2,1,39.0,13.0,0,1,1
809,1,2,33.0,26.55,1,1,0
810,3,1,26.0,7.8875,0,1,1
811,3,1,39.0,24.15,0,1,1
812,2,1,35.0,10.5,0,1,1
813,3,2,6.0,4.4678571428571425,0,1,0
814,3,1,30.5,8.05,0,1,1
815,1,1,39.53080563461327,0.0,1,1,1
816,3,2,23.0,7.925,0,1,1
817,2,1,31.0,12.334733333333332,0,0,0
818,3,1,43.0,6.45,0,1,1
819,3,1,10.0,4.6499999999999995,0,1,0
820,1,2,52.0,31.166666666666668,1,1,0
821,3,1,27.0,8.6625,0,1,1
822,1,1,38.0,0.0,0,1,1
823,3,2,27.0,6.2375,1,1,0
824,3,1,2.0,6.614583333333333,0,1,0
825,3,1,36.94105666064404,6.95,0,2,1
826,3,1,29.331028231605423,56.4958,0,1,1
827,2,1,1.0,12.334733333333332,0,0,0
828,3,1,44.13763117073652,7.75,0,2,1
829,1,2,62.0,80.0,1,1,1
830,3,2,15.0,7.2271,0,0,0
831,2,1,0.83,6.25,0,1,0
832,3,1,25.55693765538601,7.2292,0,0,1
833,3,1,23.0,7.8542,0,1,1
834,3,1,18.0,8.3,0,1,1
835,1,2,39.0,27.71943333333333,1,0,0
836,3,1,21.0,8.6625,0,1,1
837,3,1,30.39665896059371,8.05,0,1,1
838,3,1,32.0,56.4958,0,1,1
839,1,1,58.13806793737309,29.7,1,0,1
840,3,1,20.0,7.925,0,1,1
841,2,1,16.0,10.5,0,1,1
842,1,2,30.0,31.0,0,0,1
843,3,1,34.5,6.4375,0,0,1
844,3,1,17.0,8.6625,0,1,1
845,3,1,42.0,7.55,0,1,1
846,3,1,5.096103363870303,6.322727272727272,0,1,0
847,3,1,35.0,7.8958,0,0,1
848,2,1,28.0,16.5,0,1,0
849,1,2,43.004679048815525,44.5521,1,0,0
850,3,1,4.0,4.4678571428571425,0,1,0
851,3,1,74.0,7.775,0,1,1
852,3,2,9.0,5.081933333333333,0,0,0
853,1,2,16.0,19.7,1,1,0
854,2,2,44.0,13.0,0,1,0
855,3,2,18.0,4.675,0,1,0
856,1,2,45.0,54.95556666666667,0,1,0
857,1,1,51.0,26.55,1,1,1
858,3,2,24.0,4.814575,0,0,0
859,3,1,25.55693765538601,7.2292,0,0,1
860,3,1,41.0,4.702766666666666,0,1,0
861,2,1,21.0,5.75,0,1,0
862,1,2,48.0,25.9292,1,1,1
863,3,2,12.020266182757316,6.322727272727272,0,1,0
864,2,1,24.0,13.0,0,1,1
865,2,2,42.0,13.0,0,1,1
866,2,2,27.0,6.92915,0,0,0
867,1,1,31.0,50.4958,1,1,1
868,3,1,25.86356649457409,9.5,0,1,1
869,3,1,4.0,3.7111,0,1,0
870,3,1,26.0,7.8958,0,1,1
871,1,2,47.0,17.518066666666666,1,1,0
872,1,1,33.0,5.0,1,1,1
873,3,1,47.0,9.0,0,1,1
874,2,2,28.0,12.0,0,0,0
875,3,2,15.0,7.225,0,0,1
876,3,1,20.0,9.8458,0,1,1
877,3,1,19.0,7.8958,0,1,1
878,3,1,27.643628382849226,7.8958,0,1,1
879,1,2,56.0,41.57915,1,0,0
880,2,2,25.0,13.0,0,1,0
881,3,1,33.0,7.8958,0,1,1
882,3,2,22.0,10.5167,0,1,1
883,2,1,28.0,10.5,0,1,1
884,3,1,25.0,7.05,0,1,1
885,3,2,39.0,4.854166666666667,0,2,0
886,2,1,27.0,13.0,0,1,1
887,1,2,19.0,30.0,1,1,1
888,3,2,26.123692739052416,5.8625,0,1,0
889,1,1,26.0,30.0,1,0,1
890,3,1,32.0,7.75,0,2,1
